Итерация,Оригинальный,Элитизм,Адаптивное распространение
396,9.2368e-05,0.000158784,9.67709e-05
397,9.2368e-05,0.000158784,9.67709e-05
398,9.2368e-05,0.000158784,9.67709e-05
399,9.2368e-05,0.000158784,9.67709e-05
400,9.2368e-05,0.000158784,9.67709e-05
401,9.2368e-05,0.000158784,9.67709e-05
402,9.2368e-05,0.000158784,9.67709e-05
403,9.2368e-05,0.000158784,9.67709e-05
404,9.2368e-05,0.000158784,9.67709e-05
405,2.2882e-07,0.000158784,9.67709e-05
406,2.2882e-07,0.000158784,9.67709e-05
407,2.2882e-07,0.000158784,9.67709e-05
408,2.2882e-07,0.000158784,9.67709e-05
409,2.2882e-07,0.000158784,9.67709e-05
410,2.2882e-07,0.000158784,9.67709e-05
411,2.2882e-07,0.000158784,9.67709e-05
412,2.2882e-07,0.000158784,9.67709e-05
413,2.2882e-07,0.000158784,9.67709e-05
414,2.2882e-07,0.000158784,9.67709e-05
415,2.2882e-07,0.000158784,9.67709e-05
416,2.2882e-07,0.000158784,9.67709e-05
417,2.2882e-07,0.000158784,9.67709e-05
418,2.2882e-07,0.000158784,9.67709e-05
419,2.2882e-07,0.000158784,9.67709e-05
420,2.2882e-07,0.000158784,9.67709e-05
421,2.2882e-07,0.000158784,9.67709e-05
422,2.2882e-07,0.000158784,9.67709e-05
423,2.2882e-07,0.000158784,9.67709e-05
424,2.2882e-07,0.000158784,9.67709e-05
425,2.2882e-07,0.000158784,9.67709e-05
426,2.2882e-07,0.000158784,9.67709e-05
427,2.2882e-07,0.000158784,9.67709e-05
428,2.2882e-07,0.000158784,9.67709e-05
429,2.2882e-07,0.000158784,9.67709e-05
430,2.2882e-07,0.000158784,9.67709e-05
431,2.2882e-07,0.000158784,9.67709e-05
432,2.2882e-07,0.000158784,9.67709e-05
433,2.2882e-07,0.000158784,9.67709e-05
434,2.2882e-07,0.000158784,9.67709e-05
435,2.2882e-07,0.000158784,9.67709e-05
436,2.2882e-07,0.000158784,9.67709e-05
437,2.2882e-07,0.000158784,9.67709e-05
438,2.2882e-07,0.000158784,9.67709e-05
439,2.2882e-07,0.000158784,9.67709e-05
440,2.2882e-07,0.000158784,9.67709e-05
441,2.2882e-07,0.000158784,9.67709e-05
442,2.2882e-07,0.000158784,9.67709e-05
443,2.2882e-07,0.000158784,9.67709e-05
444,2.2882e-07,0.000158784,9.67709e-05
445,2.2882e-07,0.000158784,9.67709e-05
446,2.2882e-07,0.000158784,9.67709e-05
447,2.2882e-07,0.000158784,9.67709e-05
448,2.2882e-07,0.000158784,9.67709e-05
449,2.2882e-07,0.000158784,9.67709e-05
450,2.2882e-07,0.000158784,9.67709e-05
451,2.2882e-07,0.000158784,9.67709e-05
452,2.2882e-07,0.000158784,9.67709e-05
453,2.2882e-07,0.000158784,9.67709e-05
454,2.2882e-07,0.000158784,9.67709e-05
455,2.2882e-07,0.000158784,9.67709e-05
456,2.2882e-07,0.000158784,9.67709e-05
457,2.2882e-07,0.000158784,9.67709e-05
458,2.2882e-07,0.000158784,9.67709e-05
459,2.2882e-07,0.000158784,9.67709e-05
460,2.2882e-07,0.000158784,9.67709e-05
461,2.2882e-07,0.000158784,9.67709e-05
462,2.2882e-07,0.000158784,9.67709e-05
463,2.2882e-07,0.000158784,9.67709e-05
464,2.2882e-07,0.000158784,9.67709e-05
465,2.2882e-07,0.000158784,9.67709e-05
466,2.2882e-07,0.000158784,9.67709e-05
467,2.2882e-07,0.000158784,9.67709e-05
468,2.2882e-07,0.000158784,9.67709e-05
469,2.2882e-07,0.000158784,9.67709e-05
470,2.2882e-07,0.000158784,9.67709e-05
471,2.2882e-07,0.000158784,9.67709e-05
472,2.2882e-07,0.000158784,9.67709e-05
473,2.2882e-07,0.000158784,9.67709e-05
474,2.2882e-07,0.000158784,9.67709e-05
475,2.2882e-07,0.000158784,9.67709e-05
476,2.2882e-07,0.000158784,9.67709e-05
477,2.2882e-07,0.000158784,9.67709e-05
478,2.2882e-07,0.000158784,9.67709e-05
479,2.2882e-07,0.000158784,2.13854e-05
480,2.2882e-07,0.000158784,2.13854e-05
481,2.2882e-07,0.000158784,2.13854e-05
482,2.2882e-07,0.000158784,2.13854e-05
483,2.2882e-07,0.000158784,2.13854e-05
484,2.2882e-07,0.000158784,2.13854e-05
485,2.2882e-07,0.000158784,2.13854e-05
486,2.2882e-07,0.000158784,2.13854e-05
487,2.2882e-07,0.000158784,2.13854e-05
488,2.2882e-07,7.88731e-05,2.13854e-05
489,2.2882e-07,7.88731e-05,2.13854e-05
490,2.2882e-07,7.88731e-05,2.13854e-05
491,2.2882e-07,9.03419e-07,2.13854e-05
492,2.2882e-07,9.03419e-07,2.13854e-05
493,2.2882e-07,9.03419e-07,2.13854e-05
494,2.2882e-07,9.03419e-07,2.13854e-05
495,2.2882e-07,9.03419e-07,2.13854e-05
496,2.2882e-07,9.03419e-07,2.13854e-05
497,2.2882e-07,9.03419e-07,2.13854e-05
498,2.2882e-07,9.03419e-07,2.13854e-05
499,2.2882e-07,9.03419e-07,2.13854e-05
